					
Titles	Views	Likes	Comments		
"LỜI CẦU CỨU, cô gái bị CHA DƯỢNG làm chuyện ấy, cả xóm ai cũng phẫn nộ - tập 756"	"586,065"	"8,285"	472		
"Bữa ăn của NGƯỜI RỪNG, món ăn ĐỘC LẠ này đã cứu sống cả gia đình - tập 745"	"583,957"	"7,266"	333		
"CÔ GÁI nhà nghèo, dắt con chạy vô rừng KIẾM CƠM, có cái gì, ăn cái nấy - tập 1144"	"578,728"	"8,232"	415		
"THỬ LÒNG bà lão chăn bò, gặp SỰ CỐ trên RỪNG, và cái kết RƠI NƯỚC MẮT - tập 848"	"577,897"	"7,899"	444		
"ÔNG BỤT xuất hiện kịp lúc, giúp đỡ gia đình nghèo khổ HẾT GẠO ăn - tập 1323"	"577,477"	"8,333"	472		
"NÉT ĐẸP thuần khiết của người CON GÁI miền núi, khiến bao ANH CHÀNG say mê - tập 860"	"576,422"	"5,671"	243		
"NỬA ĐÊM kẻ lạ mặt, H.I.Ế.P D.Â.M người PHỤ NỮ ở trong rừng - tập 1402"	"570,363"	"5,586"	387		
"HÀNH TRÌNH vượt dốc đá, vào tận rừng già, TRUY TÌM ông cụ, sống ẨN CƯ nơi hoang vắng - tập 1085"	"567,540"	"10,651"	"1,207"		
"NGÔI NHÀ độc lạ ở trong bụi cây, của NGƯỜI RỪNG sống ẩn danh, cách biệt với XÃ HỘI - tập 923"	"564,584"	"6,929"	503		
"ĂN CHUỐI thay cơm, 3 mẹ con sống trong RỪNG, có gì ăn nấy, bữa đói, BỮA NO - tập 998"	"562,918"	"7,612"	357		
"ÔM BỤNG bầu đi lụm PHÂN đổi gạo, ăn LÁ CÂY rừng, để TỒN TẠI - tập 1026"	"561,243"	"7,189"	514		
"ĐIỀU ƯỚC nghe nhói lòng, xin gạo nấu cháo ăn với muối, để TỒN TẠI - tập 1311"	"560,818"	"6,901"	542		
"CƠM ÁO gạo tiền, tay xách, vai mang, làm việc CÒNG LƯNG vẫn không đủ sống - tập 1064"	"559,428"	"7,117"	398		
"Người cha già đau khổ vì con, con cái lấy hết tiền bạc, đồ đạc, đuổi cha già lên núi sống - tập 496"	"557,204"	"5,211"	440		
